Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322076485715,25,M,8500.00,SP,16.0000,25,2022-09-19,12,50000.00,57500.00,11,0,8,2,OUTRO,NULL,N,0.00,2,41,29874.77,30233.99,Nao
322076487715,55,F,2000.00,PR,22.0000,80,2022-09-08,68,30000.00,34500.00,13,10,1,1,CASADO (A),NULL,N,0.00,0,NULL,33341.25,3650.76,Nao
322076488715,23,M,3400.00,SP,21.0000,80,2022-09-20,68,50000.00,57500.00,11,3,5,2,CASADO (A),Nenhum,N,0.00,1,11,41606.75,19676.93,Nao
322076489715,32,F,3000.00,MS,20.0000,200,2022-09-08,227,130000.00,149500.00,6,6,0,1,DIVORCIADO,NULL,N,0.00,8,225,154898.36,2927.58,Sim
322076491715,45,M,7000.00,MG,16.8000,50,2022-09-09,51,14000.00,16100.00,11,2,4,2,CASADO (A),NULL,N,0.00,1,11,10549.63,6197.76,Nao
322076492715,32,M,3000.00,MA,18.0000,100,2022-09-08,89,70000.00,80500.00,12,7,2,3,SOLTEIRO(A),NULL,N,0.00,2,251,75403.99,7926.33,Nao
322076501715,41,M,814056.03,AL,17.0000,140,2022-09-08,143,300000.00,345000.00,3,2,1,3,CASADO (A),NULL,N,0.00,11,315,350803.06,4580.66,Sim
322076506715,27,M,6000.00,BA,14.4000,60,2022-09-14,91,50000.00,57500.00,14,3,4,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,44258.60,13572.58,Nao
322076507715,33,F,4000.00,PA,20.0000,200,2022-09-09,227,130000.00,149500.00,3,2,0,1,CASADO (A),NULL,N,0.00,11,315,156420.79,1463.79,Sim
322076509715,37,M,7000.00,RS,20.0000,200,2022-09-08,225,400000.00,460000.00,14,10,0,2,SOLTEIRO(A),Ensino Médio,N,0.00,0,NULL,283598.10,201592.21,Nao
